leftside,rightside,support
e, ,0.970216306156406
a, ,0.9674708818635608
a,e,0.9641430948419302
n, ,0.9612312811980033
i, ,0.9601497504159734
r, ,0.9574875207986688
a,n,0.956738768718802
n,e,0.956738768718802
i,e,0.9564891846921797
o, ,0.9559900166389351
e,r,0.9557404326123128
a,i,0.9547420965058236
a,r,0.9533277870216306
e,o,0.9513311148086523
i,n,0.9508319467554076
",", ,0.9505823627287854
a,o,0.9497504159733777
e,",",0.9494176372712146
a,",",0.948585690515807
i,r,0.9470049916805324
s, ,0.9469217970049917
n,o,0.9462562396006655
n,r,0.9455906821963395
s,e,0.945008319467554
l, ,0.9445923460898502
i,o,0.9442595673876872
n,",",0.943261231281198
o,r,0.943261231281198
e,l,0.9429284525790349
i,",",0.9426788685524127
a,l,0.9426788685524127
a,s,0.9422628951747088
",",r,0.940765391014975
t, ,0.9399334442595674
",",o,0.9396006655574043
t,e,0.9388519134775375
s,i,0.9381031613976706
a,t,0.9369384359400998
i,l,0.9368552412645591
s,n,0.9368552412645591
s,r,0.9351913477537438
n,l,0.9351081530782029
s,o,0.9344425956738769
l,r,0.9332778702163061
l,",",0.9330282861896838
s,",",0.9329450915141431
l,o,0.93261231281198
i,t,0.9318635607321132
t,n,0.9309484193011647
t,r,0.9308652246256239
t,o,0.9293677204658902
t,",",0.9292013311148086
s,t,0.925873544093178
s,l,0.9257071547420965
h, ,0.9217970049916805
h,e,0.9212146422628952
t,l,0.9210482529118137
u, ,0.9189683860232946
a,h,0.9187188019966722
u,e,0.9175540765391015
i,h,0.9151414309484193
a,u,0.914891846921797
d, ,0.9143094841930116
e,d,0.9143094841930116
n,h,0.913144758735441
h,r,0.9130615640599001
h,",",0.9129783693843594
a,d,0.9126455906821963
h,o,0.9118968386023294
i,u,0.9118968386023294
u,n,0.9117304492512479
u,",",0.9112312811980033
u,o,0.9106489184692179
u,r,0.9105657237936772
n,d,0.9094009983361064
s,h,0.9093178036605657
i,d,0.9089018302828619
c, ,0.9074875207986689
s,u,0.9071547420965058
